time,open,high,low,close,"ETHUSD, BITSTAMP: Open","ETHUSD, BITSTAMP: High","ETHUSD, BITSTAMP: Low","ETHUSD, BITSTAMP: Close",HV
1596326400,387.4,415,325.75,372.21,387.42,415.67,325,371.96,65.23448852545884
1596412800,372.19,399.69,366.34,386.22,372.42,398.52,367,386.3,65.59901244954999
1596499200,386.27,403.64,380.67,389.82,386.3,403.54,380.87,389.75,65.08433055617195
1596585600,389.76,408,383.86,401.21,390.95,407.7,383.6,401.21,63.52385680737574
1596672000,401.21,404.03,391,395.28,401.23,404,389.64,394.9,63.823624510384924
1596758400,395.28,398.57,362.88,379.75,394.94,398.65,360,379.71,66.45862576490828
1596844800,379.76,400.06,376.18,397.51,379.6,397.64,376.41,397.48,66.08060815512012
1596931200,397.5,401,384.02,390.41,397.53,400.5,383.48,390.32,66.80698559880135
1597017600,390.41,400.21,385.44,395.78,391.36,400.51,384.61,395.99,66.24824764911024
1597104000,395.77,398.3,364.77,378.88,395.57,398.43,366.22,378.98,69.4173424956431
1597190400,378.92,389.57,365.19,387.27,378.71,389.3,365.41,387.31,68.692510716743
1597276800,387.27,432.94,376.46,424.94,387.41,431.8,375.8,424.9,73.39695369418675
1597363200,425,445.45,417.52,438.83,425.43,444.8,418,438.72,72.85407196450323
1597449600,438.83,443.33,428,432.55,438.72,443.11,422.01,432.78,72.44287671743963
1597536000,432.67,437,412.51,433.7,432.55,437.11,412.43,434.05,72.23076760702786
1597622400,433.71,447.5,420.5,431.5,434.27,447,420.38,430.86,72.73413323945907
1597708800,431.5,434.27,414.44,422.31,431.26,434.41,413.23,422.09,74.11150225125029
1597795200,422.31,426.97,393.75,407.59,422.15,426.82,393,407.43,75.6790425037156
1597881600,407.6,419.58,402.3,415.92,408.25,419.36,402.33,416.18,75.3013912611608
1597968000,415.92,418.92,385,388.05,416.19,419,383,388.11,78.30451328791766
1598054400,388,399.73,379.53,395.62,387.72,396.92,379.4,396.12,77.64839314651685
1598140800,395.52,400,383.67,390.9,395.57,397.44,383.66,390.86,78.0790354327052
1598227200,390.78,411.97,387.72,407.76,390.98,410.47,387.65,408.28,73.92526802125171
1598313600,407.76,409.31,369.36,383.33,407.8,409.01,368.88,383.78,77.77793557982785
1598400000,383.26,393.5,377.56,386.1,383.1,393.38,376.38,386.14,77.16714782852871
1598486400,386.12,397.15,371.5,383.25,386.25,397.46,368.5,383.43,76.97457348563277
1598572800,383.27,398.16,379.67,395.47,383.43,398.32,379.83,395.42,77.43315749046063
1598659200,395.35,405.82,392.34,398.58,395.35,405.91,392.43,398.58,75.75433369171607
